Student Number	Age 
UQS1122345	27
UQS3075321	21
UQS3188122	17
UQS2087710	32
UQS2426729	21
UQS1995050	23
UQS2806655	25
UQS1041789	17
UQS3095613	32
UQS1522432	71
UQS3421913	29
UQS1259528	25
UQS2179450	26
UQS3019650	23
UQS2437593	24
UQS1811511	28
UQS2588759	25
UQS1671502	49
UQS2682864	22
UQS2643993	62
UQS2753130	23
UQS1445992	17
UQS2753028	31
UQS3251179	29
UQS2610292	25
UQS3063741	29
UQS3137721	23
UQS2310032	26
UQS2741909	30
UQS2449168	31
UQS2090483	29
UQS1384992	29
UQS2734323	26
UQS2876051	32
UQS2767978	22
UQS2955033	21
UQS3306852	17
UQS3451000	25
UQS3118942	22
UQS2645170	18
UQS1062041	29
UQS1430936	20
UQS1072586	25
UQS3219884	19
UQS1527572	21
UQS2731117	32
UQS2999125	21
UQS2417148	31
UQS2169344	25
UQS3433921	18
UQS2080697	23
UQS2065570	29
UQS2389391	27
UQS1673596	21
UQS1018384	27
UQS1322171	18
UQS2712023	27
UQS2314610	19
UQS2789558	26
UQS1305281	54
UQS1106582	22
UQS1885018	27
UQS1451668	27
UQS3170730	29
UQS1142539	32
UQS1069357	20
UQS2973380	28
UQS1968999	55
UQS2510005	28
UQS2856520	29
UQS3394270	23
UQS1774483	20
UQS2121154	18
UQS1141398	22
UQS3032384	25
UQS1846249	30
UQS3150274	26
UQS2897116	18
UQS2514402	32
UQS2098928	24
UQS2039210	23
UQS1379313	18
UQS2141418	28
UQS1215424	25
UQS3298856	31
UQS1933485	20
UQS3430074	42
UQS2018069	29
UQS2348771	18
UQS1739832	22
UQS3031902	22
UQS1081913	17
UQS1542414	23
UQS1772047	29
UQS2498975	26
UQS3195330	17
UQS3190657	22
UQS2206713	21
UQS3039964	28
UQS1033164	29
UQS3082315	30
UQS3455595	24
UQS2359155	24
UQS1437636	24
UQS2520295	23
UQS1812606	30
UQS2497375	24
UQS2825188	21
UQS2997706	32
UQS2079625	17
UQS3191200	24
UQS3188714	27
UQS2457018	28
UQS2711930	26
UQS1883801	30
UQS1570875	27
UQS2080131	26
UQS3287379	20
UQS2155485	30
UQS3367779	28
UQS1694098	19
UQS2016842	19
UQS2310245	30
UQS3432028	19
UQS1079772	30
UQS3441391	23
UQS2388322	35
UQS2466565	32
UQS2547533	24
UQS1714603	30
UQS2986754	17
UQS2759128	31
UQS3032678	18
UQS2608206	23
UQS1726721	22
UQS2466380	19
UQS2074717	22
UQS1647861	18
UQS2613500	18
UQS3016719	24
UQS1205932	25
UQS1366127	22
UQS2888131	19
UQS1548756	19
UQS1107432	33
UQS2672401	26
UQS1764672	17
UQS2198691	21
UQS1758400	31
UQS2419013	18
UQS2796651	27
UQS2256563	28
UQS2401206	23
UQS1223793	35
UQS1167565	30
UQS1971286	27
UQS2722008	20
UQS1887681	17
UQS2752142	24
UQS2792003	18
UQS2969637	18
UQS1542706	28
UQS3105337	29
UQS1974854	22
UQS2498258	27
UQS1982328	32
UQS1630908	19
UQS3003055	23
UQS1358442	30
UQS2104523	18
UQS1332915	26
UQS2942745	31
UQS2391278	25
UQS2501684	26
UQS1104154	28
UQS1528332	29
UQS2066493	27
UQS3051235	26
UQS2427702	18
UQS1587657	28
UQS1425069	30
UQS2658694	31
UQS2500732	23
UQS1754661	18
UQS2922833	20
UQS2704944	18
UQS3150081	39
UQS3113710	25
UQS2799399	30
UQS2301267	24
UQS1110341	24
UQS3221802	25
UQS1069862	26
UQS3293335	17
UQS1768524	21
UQS2083510	26
UQS1730836	31
UQS1046735	17
UQS2958383	23
UQS2099460	27
UQS2681327	18
UQS2083898	28
UQS1982252	23
UQS3147054	31
UQS2737438	19
UQS2339486	28
UQS2082261	32
UQS2307733	22
UQS1493170	27
UQS1179691	18
UQS1056848	26
UQS1117497	29
UQS2535272	20
UQS1664033	26
UQS2775155	25
UQS1094987	27
UQS1512872	71
UQS1918577	18
UQS1746429	28
UQS2750793	23
UQS2594128	17
UQS3282710	65
UQS1777568	30
UQS2067844	23
UQS1604850	29
UQS1777268	29
UQS3423671	22
UQS2887473	32
UQS2727156	31
UQS1527615	23
UQS2931279	31
UQS2537328	20
UQS1888080	23
UQS2958671	31
UQS2094742	24
UQS3297025	26
UQS3246368	31
UQS2724197	29
UQS2019468	18
UQS1150874	28
UQS2324992	27
UQS3355004	23
UQS3216810	17
UQS2930375	28
UQS2411819	23
UQS2696325	22
UQS3423543	23
UQS1246353	22
UQS1788624	23
UQS1227773	22
UQS1713715	31
UQS2190390	29
UQS2681652	17
UQS3334527	29
UQS2882337	26
UQS2748888	32
UQS3029239	25
UQS2309229	30
UQS1932069	25
UQS2321600	24
UQS2310813	22
UQS1709299	23
UQS1790026	24
UQS1428147	30
UQS2552817	22
UQS1049185	25
UQS2044279	24
UQS1290440	21
UQS1593936	19
UQS1579066	30
UQS1814070	20
UQS2837998	24
UQS1187242	25
UQS1347856	24
UQS2655998	20
UQS3436762	21
UQS1930123	28
UQS1969939	24
UQS1795220	27
UQS1116254	18
UQS1349731	25
UQS2238018	28
UQS3089404	31
UQS3067783	31
UQS1576010	30
UQS3004186	22
UQS1794580	30
UQS1391453	30
UQS2764775	23
UQS1251216	30
UQS1813175	17
UQS1934414	31
UQS1432234	21
UQS2469420	17
UQS1317253	27
UQS2565862	29
UQS1407874	18
UQS2104768	21
UQS2108259	22
UQS2578272	32
UQS2334930	32
UQS2106035	25
UQS2328214	17
UQS2514206	29
UQS2022511	32
UQS1059096	20
UQS2127515	21
UQS1911607	24
UQS2654445	32
UQS3178711	27
UQS1909564	22
UQS3210148	18
UQS1550408	31
UQS3019547	20
UQS2394255	22
UQS1735231	29
UQS1230244	28
UQS2188735	17
UQS1515386	28
UQS2194213	20
UQS2668967	29
UQS1302871	22
UQS3173821	28
UQS1827055	29
UQS1798815	23
UQS1229325	24
UQS2312077	28
UQS1844531	18
UQS1705092	29
UQS2514052	24
UQS1541380	20
UQS1628699	22
UQS1814940	20
UQS2716239	30
UQS1618511	22
UQS3280546	25
UQS1727636	32
UQS2539925	32
UQS1162992	31
UQS2984897	32
UQS1978775	32
UQS2110012	30
UQS2351620	28
UQS3291311	30
UQS2055739	24
UQS1944506	18
UQS3263721	18
UQS2693812	26
UQS2997699	22
UQS1154616	28
UQS3142367	32
UQS2582512	19
UQS1812383	25
UQS1105419	19
UQS2735972	25
UQS3235511	26
UQS1202695	22
UQS1920018	26
UQS3150235	24
UQS3174635	28
UQS2648342	19
UQS1459802	44
UQS2882469	29
UQS3190411	27
UQS1779020	22
UQS1247959	26
UQS3169314	30
UQS1406775	27
UQS2545922	27
UQS2983564	24
UQS1843533	22
UQS1465308	25
UQS1407079	47
UQS1340822	19
UQS2373774	28
UQS2219273	17
UQS3056486	18
UQS2399466	32
UQS3420286	32
UQS2941289	23
UQS3295509	32
UQS1501935	26
UQS1772581	26
UQS2452522	26
UQS1672163	31
UQS2080410	28
UQS2312327	30
UQS1676756	30
UQS3351352	40
UQS1161982	31
UQS3023732	32
UQS2450231	28
UQS1450943	27
UQS2821847	25
UQS2344199	28
UQS1175348	23
UQS2633794	28
UQS2929263	29
UQS3242203	31
UQS2094854	30
UQS1291351	26
UQS1282784	32
UQS3250428	23
UQS1453275	23
UQS1826311	23
UQS2379707	24
UQS1294013	31
UQS2157548	25
UQS1402030	31
UQS2325263	60
UQS1854773	30
UQS2844874	25
UQS1760362	23
UQS2649857	28
UQS3302524	27
UQS2847454	32
UQS3291027	31
UQS2384165	27
UQS3249377	59
UQS2870989	23
UQS2760886	29
UQS2051209	22
UQS2558317	26
UQS1619857	26
UQS2632451	24
UQS2878577	25
UQS2140735	30
UQS2755049	24
UQS3264577	32
UQS1164175	30
UQS2397629	20
UQS1698466	32
UQS2276343	62
UQS1421385	21
UQS1619310	21
UQS2348142	26
UQS3260529	29
UQS3074292	23
UQS2510938	28
UQS1774779	17
UQS2451644	25
UQS2751266	29
UQS2802807	21
UQS3304418	23
UQS2755136	26
UQS1424599	28
UQS2131103	29
UQS2019728	23
UQS2828662	18
UQS3145663	29
UQS1041901	32
UQS1013505	32
UQS2086036	22
UQS2062486	26
UQS2705773	22
UQS1111885	26
UQS2244414	20
UQS1797186	24
UQS2447455	27
UQS3414139	18
UQS1118268	25
UQS2184078	28
UQS2877822	19
UQS1771461	27
UQS3153707	26
UQS2690206	25
UQS1405673	21
UQS2216417	20
UQS3344228	25
UQS1646602	32
UQS1389148	22
UQS2279745	19
UQS1338815	21
UQS1359024	29
UQS1439856	17
UQS1525220	25
UQS1076873	18
UQS3370196	19
UQS2083015	30
UQS2183015	31
UQS3008467	22
UQS2742139	17
UQS1842867	25
UQS2379637	24
UQS2837556	24
UQS2066440	32
UQS2200600	18
UQS2591585	18
UQS2368298	19
UQS2146094	18
UQS3383484	18
UQS1918962	21
UQS3037731	32
UQS2389539	18
UQS2232585	30
UQS2022575	25
UQS1247924	26
UQS1193731	24
UQS3156973	21
