weight   length  breadth    depth
156.3     78.0     66.1     51.8
83.7     61.3     55.1     41.1
227.6    108.6     69.6     52.1
161.0     83.9     64.9     51.9
188.4     91.6     67.8     56.8
153.4     84.9     64.6     48.2
91.9     73.6     54.7     40.6
89.8     74.3     51.8     39.6
78.2     64.3     53.5     38.8
172.7     92.7     69.1     47.6
183.2     84.6     63.5     56.6
107.6     76.3     58.2     42.1
49.8     53.8     45.5     34.6
303.4    114.6     75.8     58.2
206.9     92.2     71.7     53.3
127.4     80.3     62.2     46.5
128.1     77.6     63.0     47.0
104.9     74.1     55.4     41.8
182.5     86.5     66.3     53.8
70.8     61.8     48.7     36.8
94.7     66.8     57.6     44.8
66.6     57.6     51.7     38.5
102.8     68.3     57.3     47.2
76.5     64.9     48.2     43.0
177.3     95.9     67.8     44.7
116.9     82.3     56.0     42.5
50.3     51.4     44.1     35.8
85.3     68.2     57.5     36.5
53.0     57.2     44.3     38.5
208.8    107.0     65.2     48.2
252.0     98.8     77.9     56.5
59.8     56.9     46.3     37.1
144.8     81.3     64.4     45.4
86.7     70.2     53.2     40.9
228.8     92.2     74.0     61.4
106.3     72.8     61.6     38.6
65.3     62.8     49.9     35.2
40.5     50.9     39.3     33.0
78.4     66.2     51.7     39.9
459.6    125.2     91.6     69.3
254.2     96.8     78.3     56.9
173.8     84.1     66.2     54.0
106.8     66.6     61.3     46.8
84.6     57.9     53.6     46.7
246.6     98.6     74.8     54.8
104.3     63.9     55.3     49.2
129.3     77.4     57.0     47.5
47.4     54.0     42.0     34.6
101.9     69.4     56.2     44.3
315.1    104.0     82.2     62.2
197.7     82.5     73.4     55.9
203.6     93.5     64.6     51.4
112.8     73.9     57.0     43.5
126.7     78.1     60.1     42.6
188.1     87.7     70.4     50.0
117.4     76.1     60.8     44.1
159.0     63.8     57.7     43.4
159.0     77.9     66.7     53.4
120.5     78.9     59.3     41.6
117.9     73.1     58.3     45.3
193.7     91.6     68.1     54.0
202.7     86.0     68.4     57.9
91.5     64.4     55.7     44.8
127.6     73.7     62.4     48.8
97.5     68.2     56.1     45.5
90.2     62.1     57.7     42.9
103.9     65.9     56.2     47.8
97.2     70.5     53.9     47.2
200.8     91.4     70.7     51.6
146.0     87.9     63.5     46.6
61.6     60.2     49.8     35.2
161.5     84.5     68.0     50.3
232.6     95.7     73.3     56.3
96.6     71.7     51.4     42.4
148.7     88.1     59.6     48.8
116.8     71.6     56.7     48.6
156.7     84.9     62.8     48.0
64.7     57.6     49.4     39.6
90.7     75.5     53.1     39.0
114.3     78.2     56.1     41.9
124.1     69.8     61.9     49.2
55.0     58.4     47.1     33.9
81.3     64.4     53.2     42.1
23.7     42.4     34.7     26.9
227.6    107.9     73.0     49.9
99.7     71.3     55.2     42.2
153.0     80.8     64.2     53.0
218.8     93.1     67.6     58.1
134.8     81.5     61.5     47.0
188.3     87.8     69.2     53.2
126.7     71.1     57.4     54.7
163.3    104.9     60.7     43.3
169.1     81.5     64.1     55.8
91.7     63.3     57.4     45.5
110.6     79.0     56.8     42.9
106.3     82.0     56.3     41.4
146.9     75.8     64.6     55.5
173.4     88.5     70.6     48.6
173.2     81.7     70.6     52.1
148.8     76.2     66.1     49.5
212.9     86.2     73.8     61.3
106.0     84.1     53.0     37.7
189.3     90.3     66.5     51.4
114.9     77.1     58.3     46.5
117.4     65.7     63.3     52.4
261.5    108.5     80.5     52.2
167.6     90.6     69.6     48.9
81.1     68.7     48.2     43.2
108.8     70.9     55.4     46.4
225.8     98.0     69.8     55.8
172.4     90.9     67.3     47.0
49.6     57.4     43.2     34.0
160.5     77.8     65.2     54.9
206.2     93.6     75.8     52.5
138.0     83.1     56.4     51.0
103.2     76.7     59.1     41.6
160.0     91.8     64.8     46.7
169.1     74.2     72.8     55.1
201.9     87.9     71.2     54.0
103.3     69.6     59.7     44.3
108.6     69.1     61.8     44.4
144.0     83.7     63.0     48.5
89.3     66.7     55.5     43.9
72.6     63.8     47.4     42.7
138.8     81.3     61.3     46.1
203.2    101.6     70.7     52.4
130.4     79.7     62.0     47.8
209.8     99.0     77.2     49.5
100.3     65.3     55.3     50.0
25.9     39.6     37.3     29.8
88.1     63.7     56.1     43.8
145.5     74.1     64.9     52.8
90.5     63.6     57.5     43.2
163.9     75.6     71.2     52.3
201.9     92.5     70.9     54.5
78.2     65.0     51.3     41.7
278.8     87.7     79.2     69.6
64.8     66.0     48.4     36.2
165.8     80.9     71.2     51.9
59.0     60.2     47.6     38.8
94.8     73.3     53.5     45.0
229.7     98.3     71.1     52.8
73.9     72.1     46.6     38.9
91.1     69.6     54.9     39.8
88.1     67.9     50.9     42.9
108.2     69.9     58.5     47.7
173.2     94.9     68.4     48.4
40.7     50.2     40.4     34.4
43.4     46.0     41.1     38.9
170.4     82.6     69.2     53.2
126.5     80.3     54.5     47.9
136.5     69.5     62.8     60.8
294.3    117.3     74.9     56.0
196.4     85.0     69.3     56.2
100.6     66.2     57.3     44.5
